experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error
ablation,ablation,ihdp,ablation,full,neural_rep,0,672,75,0.18303571428571427,2.9613826274871826,0.6758618860321272,0.17629533497437366,0.5581595376308608,-0.17629533497437302,4.05634575318767,3.880050418213296,6.44088717118196,0.0,6.44088717118196,0.7506050126646027,0.7033805954377769,0.5895780024060262,0.6506922606941782,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,
ablation,ablation,ihdp,ablation,full,neural_rep,1,672,75,0.19196428571428573,0.8976058959960938,0.5702343301707299,0.03895519625374444,0.47987067890991236,-0.03895519625374329,4.2142477603062325,4.175292564052488,8.238802977146783,0.0,8.238802977146783,0.6456002535700796,0.4417174403034983,0.5183818040225157,0.6427987218647941,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,
ablation,ablation,ihdp,ablation,full,neural_rep,2,672,75,0.18154761904761904,1.1295511722564697,0.9120820558550348,0.4069791114042407,0.7108989208622893,-0.4069791114042411,4.064009157208732,3.657030045804491,7.462933979593411,0.0290861138587859,7.492020093452197,1.1537022769479892,1.0671822635991024,0.7233932549328398,0.618810151307217,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,
ablation,ablation,ihdp,ablation,full,neural_rep,3,672,75,0.19047619047619047,1.7712233066558838,0.9650084472446218,0.05646712148303212,0.742205826927027,0.05646712148303142,4.011240467092333,4.067707588575365,12.371627322290355,0.08764488025794748,12.459272202548302,1.2785781951842967,0.7766524980115493,0.9774091137573911,0.7172303871111343,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,
ablation,ablation,ihdp,ablation,full,neural_rep,4,672,75,0.18601190476190477,2.725837230682373,0.9347066813995373,0.08896230567888708,0.7117759627906188,-0.08896230567888636,4.163696052943034,4.074733747264147,11.363228541504762,0.018794272145875368,11.382022813650638,1.1306159588293627,1.039508916820508,0.6750713280065106,0.8312661297656547,0.18601190476190477,0.014909819501311839,0.5517940105889383,0.30952380952380953,0.0,0.39072760511883,0.17852572689103735,0.37453576081259893,0.68,
ablation,ablation,ihdp,ablation,full,neural_rep,5,672,75,0.19345238095238096,0.6955456733703613,0.760409276913311,0.21792146544458602,0.5663782813800692,0.2179214654445866,3.9331437410854035,4.15106520652999,6.383491605800797,0.0,6.383491605800797,1.2046524979500326,0.6357053369571298,0.4642910226363776,0.48254615691422664,0.19345238095238096,0.016859497504150667,0.5992615257193149,0.27976190476190477,0.0,0.3971898949758728,0.17606695196495736,0.40839385268331657,0.64,
ablation,ablation,ihdp,ablation,full,neural_rep,6,672,75,0.18452380952380953,0.7476468086242676,0.6939038510864896,0.24810177691073765,0.5568134178787243,-0.24810177691073743,4.016693170673207,3.7685913937624695,5.467977141813069,0.0,5.467977141813069,0.6855525761365384,0.773445840240748,0.47723259529642154,0.7976223470827937,0.18452380952380953,0.0122836648095902,0.5601753357873364,0.2916666666666667,0.0,0.3874499646809513,0.1707833552677563,0.40026893257586565,0.64,
ablation,ablation,ihdp,ablation,full,neural_rep,7,672,75,0.18898809523809523,1.0438258647918701,1.0196732409946379,0.16799061523047554,0.7647784505763966,-0.1679906152304751,3.5578866081987015,3.389895992968226,8.417903384873618,0.09485792087993694,8.512761305753555,1.6141019057559232,0.6975678515788627,0.7325412671340142,0.7828097121895486,0.18898809523809523,0.013495985011059728,0.5932627568172648,0.3020833333333333,0.0,0.4084230296900961,0.18544552237956252,0.43473334556619453,0.68,
ablation,ablation,ihdp,ablation,full,neural_rep,8,672,75,0.19345238095238096,2.0450007915496826,12.058513578614642,0.13025932777781257,4.366412713916196,0.13025932777781388,10.668346257956449,10.798605585734261,57.91398348153371,0.14733261122768226,58.061316092761395,23.350041495997708,2.9490312855243728,3.2537532324680267,3.1508017251996008,0.19345238095238096,0.01480705591124428,0.6894771163752703,0.3020833333333333,0.0,0.40607436843599204,0.1824866843491901,0.3560993634276682,0.64,
ablation,ablation,ihdp,ablation,full,neural_rep,9,672,75,0.1800595238095238,2.2609853744506836,1.134912558048335,0.07018380886851983,0.8210389845276003,0.07018380886851912,5.304671650267495,5.374855459136015,26.570174945456724,0.017925910085473618,26.588100855542198,1.808526726087301,0.9687430823750282,0.7882092200578721,0.6526523330650071,0.1800595238095238,0.015356333100467318,0.614268559303028,0.3273809523809524,0.0,0.36747611405258657,0.1805341423846863,0.3874702659193068,0.68,
