experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,0,672,75,0.18303571428571427,0.30516743659973145,0.4883990179814901,0.0007191933528414296,0.39154808757596377,0.0007191933528416901,4.05634575318767,4.057064946540511,6.44088717118196,0.0,6.44088717118196,0.570390109817455,0.43206917840336856,0.3634021158161116,0.5543606360265128,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,1,672,75,0.19196428571428573,0.3023667335510254,0.4084039690481718,0.16975097225486024,0.30960341087256726,-0.16975097225485888,4.2142477603062325,4.044496788051372,8.238802977146783,0.0,8.238802977146783,0.4120810574694631,0.21359373547592775,0.34782922325462373,0.569543246037151,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,2,672,75,0.18154761904761904,0.3574974536895752,0.6557379108652811,0.19583181033831654,0.44823462149434873,-0.19583181033831712,4.064009157208732,3.8681773468704153,7.462933979593411,0.0290861138587859,7.492020093452197,1.0356100531470844,0.4542805799959023,0.41888112668415367,0.5054756895894499,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,3,672,75,0.19047619047619047,0.3122901916503906,1.1201171916773662,0.03330721196200637,0.8182376784348995,-0.033307211962007685,4.011240467092333,3.9779332551303264,12.371627322290355,0.08764488025794748,12.459272202548302,1.7121077467232733,0.6343821918971129,0.5786583140056936,1.1424522613615098,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,4,672,75,0.18601190476190477,0.3020031452178955,1.4997705034771214,0.1505330855289131,1.0623464530447262,-0.15053308552891406,4.163696052943034,4.013162967414121,11.24351711893177,0.13850569471886764,11.382022813650638,2.0515448463380137,1.3467845617136232,1.513932256993272,0.8122009039680302,0.18601190476190477,0.014909819501311839,0.5517940105889383,0.30952380952380953,0.0,0.39072760511883,0.17852572689103735,0.37453576081259893,0.68,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,5,672,75,0.19345238095238096,0.30120253562927246,0.621147391737623,0.09248127529569539,0.43091065892085983,0.09248127529569568,3.9331437410854035,4.025625016381099,6.383491605800797,0.0,6.383491605800797,0.9935788156862728,0.46891795109659806,0.5263979619187729,0.22446585646231193,0.19345238095238096,0.016859497504150667,0.5992615257193149,0.27976190476190477,0.0,0.3971898949758728,0.17606695196495736,0.40839385268331657,0.64,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,6,672,75,0.18452380952380953,0.29715538024902344,0.5019932213365423,0.2427324697829838,0.41361760178318163,-0.24273246978298482,4.016693170673207,3.7739607008902234,5.467977141813069,0.0,5.467977141813069,0.5663655025055921,0.4875523802407585,0.5291556944014851,0.4107964505498991,0.18452380952380953,0.0122836648095902,0.5601753357873364,0.2916666666666667,0.0,0.3874499646809513,0.1707833552677563,0.40026893257586565,0.64,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,7,672,75,0.18898809523809523,0.28850769996643066,0.9702000277182425,0.019647703949488893,0.6019593486242358,0.019647703949489764,3.5578866081987015,3.5775343121481904,8.381534215985404,0.13122708976815112,8.512761305753555,1.7113308520717057,0.6053463267459244,0.599390360985407,0.46409511709394646,0.18898809523809523,0.013495985011059728,0.5932627568172648,0.3020833333333333,0.0,0.4084230296900961,0.18544552237956252,0.43473334556619453,0.68,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,8,672,75,0.19345238095238096,0.2967398166656494,21.429929500376975,1.7702389090678707,10.049518107886781,1.7702389090678707,10.668346257956449,12.43858516702432,57.15069571368594,0.9106203790754535,58.061316092761395,40.79909210659541,6.890141540007945,7.161615345003441,7.208801641479387,0.19345238095238096,0.01480705591124428,0.6894771163752703,0.3020833333333333,0.0,0.40607436843599204,0.1824866843491901,0.3560993634276682,0.64,
baseline,baseline_ihdp,ihdp,baseline,default,s_learner,9,672,75,0.1800595238095238,0.29266953468322754,3.050673957633111,0.1554471237153381,1.915393460511331,0.15544712371533728,5.304671650267495,5.460118773982833,26.531497980055367,0.056602875486831294,26.588100855542198,5.509031330772504,1.4160264486429495,2.0818028626119984,1.282771482358419,0.1800595238095238,0.015356333100467318,0.614268559303028,0.3273809523809524,0.0,0.36747611405258657,0.1805341423846863,0.3874702659193068,0.68,
