experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,0,2000,2000,0.5,1.8222947120666504,0.35253513862227254,0.14357524132762445,0.2626078693206382,-0.14357524132762445,0.988634815670337,0.8450595743427125,0.9654001634460548,0.009241086330087023,0.9746412497761419,0.30395527347967977,0.25771166429937015,0.26453276504380846,0.5180177621278239,0.5,0.30161096242148194,0.6755440672048536,0.0,0.0,0.096,0.03617392029560568,0.12084866904148066,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,1,2000,2000,0.495,1.800645112991333,0.47047812199738825,0.23063789373556953,0.3427351781503719,-0.23063789373556948,0.9947717733296532,0.7641338795940836,1.0498530548256966,0.014046195956159746,1.0638992507818563,0.30060572050421763,0.30947192682079655,0.38500934940251813,0.7423138024416431,0.495,0.2615105049613446,0.6718587160923126,0.0,0.0,0.11812181218121812,0.04292046311676366,0.10668488565857716,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,2,2000,2000,0.5035,1.8432729244232178,0.4038689208822067,0.15856428294995983,0.2962043681811425,-0.1585642829499598,0.9804604494287746,0.8218961664788148,0.9337506323875646,0.0038958221113138958,0.9376464544988785,0.25998860900944526,0.23529190112697798,0.3379158926503766,0.6444353458353429,0.5035,0.2929037483019912,0.7107596090634787,0.0,0.0,0.12976335840456182,0.05200336617670166,0.1300180432092643,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,3,2000,2000,0.5,1.7886147499084473,0.4290324093960833,0.2772366054806197,0.3244651035829741,-0.27723660548061974,1.0087926713972664,0.7315560659166467,0.8924886171779959,0.010029798849319871,0.9025184160273158,0.2480602826054762,0.3758652851266567,0.35307027775404615,0.6393809473591334,0.5,0.3339531679415336,0.674103785436549,0.0,0.0,0.108,0.04397804774632658,0.08348393134626104,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,4,2000,2000,0.4745,1.7967355251312256,0.4599605137263315,0.29410093296589956,0.3473872987087061,-0.2941009329658997,0.9903193784566898,0.6962184454907903,0.9167811065868517,0.005554477097697408,0.9223355836845492,0.2151891980521652,0.32279529352784336,0.36087301285558254,0.7520120829215693,0.4745,0.2989067005510385,0.646543204391403,0.0,0.0,0.09182884683060641,0.040307352301775956,0.09620872186074654,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,5,2000,2000,0.5075,1.802654504776001,0.41094362934661727,0.17424807929295827,0.2986872738290691,-0.1742480792929582,0.9664879542782492,0.7922398749852909,0.9713478606191683,0.008920549578362191,0.9802684101975305,0.26644965646854746,0.30416479798492485,0.30803511457542676,0.645833872157048,0.5075,0.32807189819113414,0.6704747301170138,0.0,0.0,0.09521642369533145,0.035002717603518106,0.14606359355552034,0.05,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,6,2000,2000,0.489,1.784020185470581,0.4443205802837115,0.23512505164191533,0.34103848539264625,-0.23512505164191536,1.003619649399195,0.7684945977572796,1.0223854282719749,0.013548049758735248,1.0359334780307101,0.2944430047456428,0.30869680105552993,0.3801307768364067,0.6805830637995676,0.489,0.347036171468478,0.6192937795864211,0.0,0.0,0.09889186366201241,0.02776811845669277,0.09743066258171393,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,7,2000,2000,0.4925,1.7701678276062012,0.4870899930561938,0.309349385942446,0.3617525139139406,-0.3093493859424461,0.9985860310672204,0.6892366451247744,0.9909176201034573,0.011333244428860745,1.002250864532318,0.2633570998251135,0.30840012754990453,0.3976572420726605,0.7914718961959452,0.4925,0.2613921765664383,0.6923932826880763,0.0,0.0,0.11139006276412193,0.041775178257900794,0.11379574324848574,0.1,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,8,2000,2000,0.493,1.794363260269165,0.5043418777213382,0.2782515163417356,0.3818011678075579,-0.2782515163417356,1.0063284488837538,0.7280769325420182,1.034951710573873,0.007008786391734967,1.041960496965608,0.28368189851237924,0.34598065638984593,0.42176503191509473,0.7996118697268468,0.493,0.3201051481548517,0.6428530196688977,0.0,0.0,0.087255101999992,0.0355156250203149,0.0810216864786433,0.0,0.5,0.5,
confounding,confounding,synthetic,confounding_strength,0.0,s_learner,9,2000,2000,0.497,1.7606370449066162,0.5067629951757302,0.3479986730772465,0.4036190971700552,-0.34799867307724663,1.000148146210073,0.6521494731328265,0.9037632159134144,0.003507484091695545,0.9072707000051099,0.22980114417992922,0.38113434106050675,0.4672354763654468,0.7815714880555913,0.497,0.34894679724308725,0.6455766442257557,0.0,0.0,0.08948522146797284,0.03447847881826681,0.08078551820768623,0.0,0.5,0.5,
