experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,0,168,75,0.18452380952380953,0.13673114776611328,0.6907889977060794,0.03641796523439922,0.5356269660424247,0.0364179652343993,4.05634575318767,4.092763718422069,6.425954040151964,0.014933131029995828,6.44088717118196,0.9412105176845817,0.63503604938612,0.5666868670667046,0.5427571039953432,0.18452380952380953,0.009353915412797943,0.9116173577877823,0.4226190476190476,0.005952380952380952,0.6289145279020485,0.24467009674134496,0.5885897450091889,0.76,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,1,168,75,0.22023809523809523,0.13040399551391602,0.8790661783532923,0.6095991047376876,0.7018654783833557,-0.6095991047376876,4.2142477603062325,3.604648655568545,8.238802977146783,0.0,8.238802977146783,0.8677105021450088,0.9183436193468593,0.8183540870436437,0.9103653768470705,0.22023809523809523,0.009801446083534261,0.6851747709926175,0.30952380952380953,0.0,0.4959768929234578,0.22634263215751693,0.5420891812639285,0.76,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,2,168,75,0.13095238095238096,0.13462424278259277,1.1538880696553853,0.23370517856290185,0.8586335586895302,0.23370517856290235,4.064009157208732,4.297714335771634,7.462933979593411,0.0290861138587859,7.492020093452197,1.7858709263102586,0.9552734789939447,0.891571094985061,0.64280122862764,0.13095238095238096,0.010310455823298485,0.589837947374574,0.5178571428571429,0.0,0.635118306351183,0.24931625999578796,0.6150878990166778,0.76,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,3,168,75,0.20833333333333334,0.14007568359375,1.4932029530249595,0.2044849472443091,1.1287485440623262,-0.20448494724431035,4.011240467092333,3.8067555198480236,12.371627322290355,0.08764488025794748,12.459272202548302,2.1935549641939147,0.9034376954322109,0.9612556078518018,1.5140450629621849,0.20833333333333334,0.018926678078473178,0.7631402464850572,0.32142857142857145,0.0,0.47969924812030074,0.1915529798427533,0.5891101807950034,0.56,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,4,168,75,0.17857142857142858,0.13112592697143555,1.5957133401534112,0.31532278925091894,1.073281301966329,0.3153227892509184,4.163696052943034,4.479018842193953,11.221810498569956,0.16021231508068112,11.382022813650638,2.6785842396688544,1.2387426889320161,0.9233837917207648,0.7549941005833143,0.17857142857142858,0.014928652735355256,0.4799286559359998,0.2916666666666667,0.0,0.553623188405797,0.20178012603115364,0.4544147374625829,0.64,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,5,168,75,0.19642857142857142,0.13020873069763184,0.7716994295745306,0.10189760741128984,0.5717851570113623,0.10189760741129013,3.9331437410854035,4.035041348496693,6.383491605800797,0.0,6.383491605800797,1.0696624397143963,0.6352026839564382,0.6888071385609992,0.591487396022999,0.19642857142857142,0.014974793747271597,0.5259175146296434,0.31547619047619047,0.0,0.4444444444444444,0.232417434588024,0.47899957880016975,0.76,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,6,168,75,0.13690476190476192,0.12919282913208008,1.2351103812810889,1.1128424304719347,1.1263056323305727,-1.1128424304719344,4.016693170673207,2.9038507402012725,5.467977141813069,0.0,5.467977141813069,1.425437727048804,0.9265242564482391,1.4120418941915451,1.0875203329661758,0.13690476190476192,0.007116581828142355,0.530171005661958,0.4523809523809524,0.0,0.5757121439280359,0.21129926645168573,0.5394648129360299,0.64,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,7,168,75,0.22023809523809523,0.12561893463134766,1.0843766673394957,0.0473670184426811,0.7492136053255064,0.04736701844268191,3.5578866081987015,3.6052536266413826,8.381534215985404,0.13122708976815112,8.512761305753555,1.8270956391876392,0.7007247722842269,0.7619797838040674,0.6382750048299147,0.22023809523809523,0.007174796155922677,0.860874264300139,0.3630952380952381,0.0,0.6158448524860739,0.2929876812998223,0.8045713428366867,0.76,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,8,168,75,0.16666666666666666,0.12690091133117676,29.067893642848023,1.834788366799069,14.990417622835569,1.8347883667990694,10.668346257956449,12.503134624755518,53.66888882478201,4.392427267979386,58.061316092761395,54.77742286484517,7.778528450127455,9.90673847411425,13.389121742829303,0.16666666666666666,0.024204897921953274,0.5712489847875447,0.36904761904761907,0.0,0.42142857142857143,0.2072195596752196,0.4513429465878397,0.8,
sample_size,sample_size,ihdp,train_fraction,0.25,s_learner,9,168,75,0.16071428571428573,0.12741637229919434,5.557150815116284,0.026966941064078043,3.8138384041589735,-0.026966941064079007,5.304671650267495,5.277704709203417,26.248125015504954,0.3399758400372441,26.588100855542198,9.904689490113238,1.5700431406365365,3.0722091890996954,4.130286519882094,0.16071428571428573,0.009769083340147033,0.6674837270598899,0.43452380952380953,0.0,0.5279747832939322,0.2371552484090988,0.4678769139548768,0.8,
