condition,condition_value,metric,reference,comparison,n_pairs,mean_diff,median_diff,statistic,p_value,reject_h0_holm_0.05,experiment,favors
baseline,default,pehe,neural_rep,s_learner,30,-2.0324935697680977,-0.3895685730975685,99.0,0.0050126127898693085,True,baseline_ihdp,NeuralRep
baseline,default,pehe,neural_rep,t_learner,30,-0.7475222288252626,-0.19923400388851892,31.0,4.421919584274292e-06,True,baseline_ihdp,NeuralRep
baseline,default,pehe,neural_rep,x_learner,30,-1.7422277896974239,-0.3853361704363777,15.0,2.551823854446411e-07,True,baseline_ihdp,NeuralRep
baseline,default,abs_ate_error,neural_rep,s_learner,30,-0.4654434835263907,0.006357780935017249,195.0,0.4521643426269293,False,baseline_ihdp,NeuralRep
baseline,default,abs_ate_error,neural_rep,t_learner,30,-0.0947352529555442,-0.010790418718512398,220.0,0.8078304156661034,False,baseline_ihdp,NeuralRep
baseline,default,abs_ate_error,neural_rep,x_learner,30,-0.15062456114160389,-0.07803503723431024,119.0,0.018529480323195457,False,baseline_ihdp,NeuralRep
baseline,default,policy_regret,neural_rep,s_learner,30,-0.12338319503645355,-0.03315632806210454,11.0,0.00028104304823949435,True,baseline_ihdp,NeuralRep
baseline,default,policy_regret,neural_rep,t_learner,30,-0.03568791924351604,0.0,123.0,0.44045294529422474,False,baseline_ihdp,NeuralRep
baseline,default,policy_regret,neural_rep,x_learner,30,-0.1459217228282574,-0.034177592099410056,20.0,0.000331994064682034,True,baseline_ihdp,NeuralRep
baseline,default,pehe,neural_rep,s_learner,30,-0.05949205934342954,-0.0707196966451886,31.0,4.421919584274292e-06,True,baseline_synthetic,NeuralRep
baseline,default,pehe,neural_rep,t_learner,30,-0.4169752155748086,-0.4122653534224508,0.0,1.862645149230957e-09,True,baseline_synthetic,NeuralRep
baseline,default,pehe,neural_rep,x_learner,30,-0.008207034535386255,-0.018311973648763857,164.0,0.1641840822994709,False,baseline_synthetic,NeuralRep
baseline,default,abs_ate_error,neural_rep,s_learner,30,-0.26614553060007407,-0.27309880017022214,0.0,1.862645149230957e-09,True,baseline_synthetic,NeuralRep
baseline,default,abs_ate_error,neural_rep,t_learner,30,-0.024632845463531124,-0.02793008207013175,120.0,0.019660815596580505,True,baseline_synthetic,NeuralRep
baseline,default,abs_ate_error,neural_rep,x_learner,30,0.036632225092037424,0.029925399585506544,68.0,0.0003800932317972183,True,baseline_synthetic,baseline
baseline,default,policy_regret,neural_rep,s_learner,30,0.0064448806427722626,0.00538569146013225,19.0,5.718320608139038e-07,True,baseline_synthetic,baseline
baseline,default,policy_regret,neural_rep,t_learner,30,-0.10725290060691292,-0.1060053881855833,0.0,1.862645149230957e-09,True,baseline_synthetic,NeuralRep
baseline,default,policy_regret,neural_rep,x_learner,30,-0.013188471723601962,-0.013416724324273249,8.0,4.6566128730773926e-08,True,baseline_synthetic,NeuralRep
confounding_strength,0.0,pehe,neural_rep,s_learner,30,0.04010537476306029,0.051178953144791955,59.0,0.0001528710126876831,True,confounding,baseline
confounding_strength,0.0,pehe,neural_rep,t_learner,30,-0.4131213672865161,-0.41527117674263136,0.0,1.862645149230957e-09,True,confounding,NeuralRep
confounding_strength,0.0,pehe,neural_rep,x_learner,30,0.04322384047457587,0.051195463965361176,18.0,4.7124922275543213e-07,True,confounding,baseline
confounding_strength,1.0,pehe,neural_rep,s_learner,30,-0.05949205934342954,-0.0707196966451886,31.0,4.421919584274292e-06,True,confounding,NeuralRep
