experiment,condition,condition_value,model,metric,mean,std,sem,median,iqr,n,ci_low,ci_high
baseline,baseline,default,s_learner,pehe,0.5534264295145863,0.05748703494837218,0.010495648601770425,0.5610423518543692,0.08764325892411651,30,0.5341539568299137,0.5738112629613967
baseline,baseline,default,s_learner,abs_ate_error,0.3616862180688546,0.06144786835220969,0.01121879453570435,0.36424418714005535,0.08521203720456255,30,0.3404692091097017,0.3834605566863578
baseline,baseline,default,s_learner,policy_regret,0.007463040141600286,0.0029797261174791738,0.0005440210699102107,0.00645117300946807,0.0033279040848301633,30,0.006467841027781243,0.00853186159838411
baseline,baseline,default,s_learner,policy_value,0.9710416971107122,0.0619752036398822,0.011315072346513253,0.9751110912919341,0.09334005173052651,30,0.9492193280959861,0.9922418350699144
baseline,baseline,default,t_learner,pehe,0.9109095857459656,0.04331165539079784,0.007907590220143403,0.907177603308741,0.04524103116344924,30,0.8957150530033715,0.9267825922809478
baseline,baseline,default,t_learner,abs_ate_error,0.12017353293231177,0.06645306463470828,0.012132614171926175,0.10913202163142416,0.08214446835550776,30,0.09704341207291138,0.1439486715818227
baseline,baseline,default,t_learner,policy_regret,0.12116082139128542,0.0209365977607226,0.0038224822903199724,0.11889735157052411,0.02298086771214622,30,0.11390587580452735,0.12876079624416953
baseline,baseline,default,t_learner,policy_value,0.8573439158610273,0.06420955112066618,0.011723006518689995,0.8679211731256853,0.09920429610965176,30,0.8350307911917004,0.8793331092016149
baseline,baseline,default,x_learner,pehe,0.5021414047065431,0.029231477256964362,0.005336913160946206,0.49383110164693456,0.03863489402891607,30,0.4919212548494864,0.5125107881176524
baseline,baseline,default,x_learner,abs_ate_error,0.058908462376743215,0.04225324808863008,0.007714352368668247,0.04902362208534666,0.05936303392210493,30,0.0446015340621497,0.07401041549468439
baseline,baseline,default,x_learner,policy_regret,0.027096392507974507,0.0064695122023316195,0.0011811659230906515,0.02817323584638931,0.009724724668515095,30,0.02488667473851018,0.029404455579329667
baseline,baseline,default,x_learner,policy_value,0.9514083447443381,0.06249605833323627,0.01141016696809074,0.9540792377460896,0.08682596309159774,30,0.9294668466392233,0.9728989841984961
baseline,baseline,default,neural_rep,pehe,0.49393437017115693,0.03276145732207205,0.0059813963973472176,0.49189410583021453,0.05951769561146014,30,0.48273025735015046,0.5053988021358468
baseline,baseline,default,neural_rep,abs_ate_error,0.09554068746878062,0.05607398286129396,0.010237661767429594,0.092334095910862,0.09025286914204206,30,0.07601659703064607,0.11578248986076949
baseline,baseline,default,neural_rep,policy_regret,0.013907920784372552,0.006492106749578852,0.0011852911041586266,0.012719843373176498,0.006898686041507757,30,0.011755808082397172,0.016338366174430703
baseline,baseline,default,neural_rep,policy_value,0.9645968164679403,0.06136244618514063,0.01120319865309945,0.9701329525963776,0.08620601149080254,30,0.9428809863383952,0.985322658440181
