experiment,condition,condition_value,model,metric,mean,std,sem,median,iqr,n,ci_low,ci_high
confounding,confounding_strength,0.0,s_learner,pehe,0.4339013927480299,0.04528689384401039,0.008268217772568778,0.4282370235355719,0.06501789811770547,30,0.4181925161973087,0.44996507202905345
confounding,confounding_strength,0.0,s_learner,abs_ate_error,0.22857121415249085,0.05551773243991433,0.0101361047996258,0.2172919097302548,0.09900692213859011,30,0.20957435649990902,0.24827304649247342
confounding,confounding_strength,0.0,s_learner,policy_regret,0.008022961565594804,0.003694738818447471,0.0006745639316512215,0.007934328394234524,0.003758283581585864,30,0.006792691732132656,0.009369168533432634
confounding,confounding_strength,0.0,s_learner,policy_value,0.9704817756867178,0.06251863917922332,0.011414289647662291,0.9751183263494452,0.0916838984089523,30,0.9483828426732798,0.9916808120312414
confounding,confounding_strength,0.0,t_learner,pehe,0.8871281347976063,0.0406265973107333,0.007417367927255782,0.8869347606366933,0.05508576144751165,30,0.8729641138305154,0.9016216822442655
confounding,confounding_strength,0.0,t_learner,abs_ate_error,0.060273709776293684,0.03438246921927263,0.006277351324707551,0.06071296638497148,0.043847364950803464,30,0.04842745024080695,0.07218057764925385
confounding,confounding_strength,0.0,t_learner,policy_regret,0.09981808139252463,0.01926889519747769,0.003518002852620498,0.09711980689971089,0.018547789219101718,30,0.09323998532937613,0.106750705735222
confounding,confounding_strength,0.0,t_learner,policy_value,0.878686655859788,0.06703331802605707,0.01223855346242971,0.8890233847976592,0.08226947668580298,30,0.8551734903287878,0.9017704566001283
confounding,confounding_strength,0.0,x_learner,pehe,0.4307829270365144,0.027911358945938308,0.005095893635104676,0.425845127643264,0.0378359338401858,30,0.4212151901439427,0.440780486358338
confounding,confounding_strength,0.0,x_learner,abs_ate_error,0.04458382192945902,0.027921275108975116,0.005097704070497729,0.042669788840521916,0.02400855211100203,30,0.03518914124090906,0.054685992388608086
confounding,confounding_strength,0.0,x_learner,policy_regret,0.018885002123504545,0.006171856460185246,0.0011268216683091481,0.018864679506298443,0.010172100106931314,30,0.01674196285274127,0.02106448155316307
confounding,confounding_strength,0.0,x_learner,policy_value,0.959619735128808,0.0625084336491953,0.011412426381326411,0.961875179391757,0.08372958922094231,30,0.9375627228026688,0.9810323351115274
confounding,confounding_strength,0.0,neural_rep,pehe,0.4740067675110901,0.026439238780986554,0.0048271224945372415,0.47614033580504833,0.04197018694633037,30,0.4647546796670291,0.4832216693110086
confounding,confounding_strength,0.0,neural_rep,abs_ate_error,0.07672790842202888,0.053499949637700654,0.009767709747319662,0.07666107602477251,0.08567707160308047,30,0.05815168243728898,0.09579061171591519
confounding,confounding_strength,0.0,neural_rep,policy_regret,0.013313881300388457,0.006874857936150541,0.001255171590424354,0.012181653346277133,0.006213676813444813,30,0.011162086692603233,0.015868586337585637
